"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",8,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",11,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",7,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",7,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",14,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",14,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",7,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",7,1,"Southwest"
"Achievement First Hartford Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",8,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",8,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",12,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",7,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",10,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Amistad Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",8,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",9,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",8,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",12,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",15,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",10,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Andover School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Andover School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Andover School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Andover School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Andover School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Andover School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Andover School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Andover School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Andover School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Andover School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Ansonia School District",900901220,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
