"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Andover",901301080,"2012-2016","All","Number","Margins of Error",12578
"Andover",901301080,"2012-2016","All","Number","Median Household Income",100724
"Ansonia",900901220,"2012-2016","All","Number","Margins of Error",4682
"Ansonia",900901220,"2012-2016","All","Number","Median Household Income",43386
"Ashford",901501430,"2012-2016","All","Number","Margins of Error",7075
"Ashford",901501430,"2012-2016","All","Number","Median Household Income",78313
"Avon",900302060,"2012-2016","All","Number","Margins of Error",9643
"Avon",900302060,"2012-2016","All","Number","Median Household Income",124608
"Barkhamsted",900502760,"2012-2016","All","Number","Margins of Error",9372
"Barkhamsted",900502760,"2012-2016","All","Number","Median Household Income",104899
"Beacon Falls",900903250,"2012-2016","All","Number","Margins of Error",11666
"Beacon Falls",900903250,"2012-2016","All","Number","Median Household Income",84570
"Berlin",900304300,"2012-2016","All","Number","Margins of Error",9503
"Berlin",900304300,"2012-2016","All","Number","Median Household Income",93750
"Bethany",900904580,"2012-2016","All","Number","Margins of Error",10901
"Bethany",900904580,"2012-2016","All","Number","Median Household Income",106058
"Bethel",900104720,"2012-2016","All","Number","Margins of Error",6347
"Bethel",900104720,"2012-2016","All","Number","Median Household Income",94292
"Bethlehem",900504930,"2012-2016","All","Number","Margins of Error",9644
"Bethlehem",900504930,"2012-2016","All","Number","Median Household Income",87056
"Bloomfield",900305910,"2012-2016","All","Number","Margins of Error",4728
"Bloomfield",900305910,"2012-2016","All","Number","Median Household Income",74107
"Bolton",901306260,"2012-2016","All","Number","Margins of Error",11191
"Bolton",901306260,"2012-2016","All","Number","Median Household Income",91087
"Bozrah",901106820,"2012-2016","All","Number","Margins of Error",6484
"Bozrah",901106820,"2012-2016","All","Number","Median Household Income",84698
"Branford",900907310,"2012-2016","All","Number","Margins of Error",4041
"Branford",900907310,"2012-2016","All","Number","Median Household Income",71619
"Bridgeport",900108070,"2012-2016","All","Number","Margins of Error",1420
"Bridgeport",900108070,"2012-2016","All","Number","Median Household Income",43137
"Bridgewater",900508210,"2012-2016","All","Number","Margins of Error",11581
"Bridgewater",900508210,"2012-2016","All","Number","Median Household Income",103393
"Bristol",900308490,"2012-2016","All","Number","Margins of Error",1900
"Bristol",900308490,"2012-2016","All","Number","Median Household Income",61551
"Brookfield",900108980,"2012-2016","All","Number","Margins of Error",9912
"Brookfield",900108980,"2012-2016","All","Number","Median Household Income",106278
"Brooklyn",901509190,"2012-2016","All","Number","Margins of Error",12619
"Brooklyn",901509190,"2012-2016","All","Number","Median Household Income",74375
"Burlington",900310100,"2012-2016","All","Number","Margins of Error",6662
"Burlington",900310100,"2012-2016","All","Number","Median Household Income",117069
"Canaan",900510940,"2012-2016","All","Number","Margins of Error",3167
"Canaan",900510940,"2012-2016","All","Number","Median Household Income",72174
"Canterbury",901512130,"2012-2016","All","Number","Margins of Error",8274
"Canterbury",901512130,"2012-2016","All","Number","Median Household Income",81496
"Canton",900312270,"2012-2016","All","Number","Margins of Error",5100
"Canton",900312270,"2012-2016","All","Number","Median Household Income",87404
"Chaplin",901513810,"2012-2016","All","Number","Margins of Error",19463
"Chaplin",901513810,"2012-2016","All","Number","Median Household Income",80000
"Cheshire",900914160,"2012-2016","All","Number","Margins of Error",6795
"Cheshire",900914160,"2012-2016","All","Number","Median Household Income",108559
"Chester",900714300,"2012-2016","All","Number","Margins of Error",17151
"Chester",900714300,"2012-2016","All","Number","Median Household Income",76648
"Clinton",900715350,"2012-2016","All","Number","Margins of Error",6326
"Clinton",900715350,"2012-2016","All","Number","Median Household Income",74022
"Colchester",901115910,"2012-2016","All","Number","Margins of Error",6044
"Colchester",901115910,"2012-2016","All","Number","Median Household Income",99257
"Colebrook",900516050,"2012-2016","All","Number","Margins of Error",6095
"Colebrook",900516050,"2012-2016","All","Number","Median Household Income",81184
"Columbia",901316400,"2012-2016","All","Number","Margins of Error",5206
"Columbia",901316400,"2012-2016","All","Number","Median Household Income",92981
"Connecticut",9,"2012-2016","All","Number","Margins of Error",473
"Connecticut",9,"2012-2016","All","Number","Median Household Income",71755
"Cornwall",900517240,"2012-2016","All","Number","Margins of Error",10044
"Cornwall",900517240,"2012-2016","All","Number","Median Household Income",74107
"Coventry",901317800,"2012-2016","All","Number","Margins of Error",4973
"Coventry",901317800,"2012-2016","All","Number","Median Household Income",88967
"Cromwell",900718080,"2012-2016","All","Number","Margins of Error",2457
"Cromwell",900718080,"2012-2016","All","Number","Median Household Income",83739
"Danbury",900118500,"2012-2016","All","Number","Margins of Error",3623
"Danbury",900118500,"2012-2016","All","Number","Median Household Income",67430
"Darien",900118850,"2012-2016","All","Number","Margins of Error",20540
"Darien",900118850,"2012-2016","All","Number","Median Household Income",208125
"Deep River",900719130,"2012-2016","All","Number","Margins of Error",11291
"Deep River",900719130,"2012-2016","All","Number","Median Household Income",69861
"Derby",900919550,"2012-2016","All","Number","Margins of Error",7464
"Derby",900919550,"2012-2016","All","Number","Median Household Income",55316
"Durham",900720810,"2012-2016","All","Number","Margins of Error",9525
"Durham",900720810,"2012-2016","All","Number","Median Household Income",114491
"Eastford",901521860,"2012-2016","All","Number","Margins of Error",9396
"Eastford",901521860,"2012-2016","All","Number","Median Household Income",78309
"East Granby",900322070,"2012-2016","All","Number","Margins of Error",11567
"East Granby",900322070,"2012-2016","All","Number","Median Household Income",88559
"East Haddam",900722280,"2012-2016","All","Number","Margins of Error",10217
"East Haddam",900722280,"2012-2016","All","Number","Median Household Income",79668
"East Hampton",900722490,"2012-2016","All","Number","Margins of Error",3458
"East Hampton",900722490,"2012-2016","All","Number","Median Household Income",95923
"East Hartford",900322630,"2012-2016","All","Number","Margins of Error",2051
"East Hartford",900322630,"2012-2016","All","Number","Median Household Income",50750
"East Haven",900922910,"2012-2016","All","Number","Margins of Error",3565
"East Haven",900922910,"2012-2016","All","Number","Median Household Income",63137
"East Lyme",901123400,"2012-2016","All","Number","Margins of Error",5283
"East Lyme",901123400,"2012-2016","All","Number","Median Household Income",85872
"Easton",900123890,"2012-2016","All","Number","Margins of Error",18411
"Easton",900123890,"2012-2016","All","Number","Median Household Income",133356
"East Windsor",900324800,"2012-2016","All","Number","Margins of Error",8321
"East Windsor",900324800,"2012-2016","All","Number","Median Household Income",74784
"Ellington",901325360,"2012-2016","All","Number","Margins of Error",4251
"Ellington",901325360,"2012-2016","All","Number","Median Household Income",79917
"Enfield",900325990,"2012-2016","All","Number","Margins of Error",3369
"Enfield",900325990,"2012-2016","All","Number","Median Household Income",71526
"Essex",900726270,"2012-2016","All","Number","Margins of Error",14911
"Essex",900726270,"2012-2016","All","Number","Median Household Income",89950
"Fairfield",900126620,"2012-2016","All","Number","Margins of Error",5065
"Fairfield",900126620,"2012-2016","All","Number","Median Household Income",122135
"Farmington",900327600,"2012-2016","All","Number","Margins of Error",5094
"Farmington",900327600,"2012-2016","All","Number","Median Household Income",95158
"Franklin",901129910,"2012-2016","All","Number","Margins of Error",15896
"Franklin",901129910,"2012-2016","All","Number","Median Household Income",93438
"Glastonbury",900331240,"2012-2016","All","Number","Margins of Error",6358
"Glastonbury",900331240,"2012-2016","All","Number","Median Household Income",108600
"Goshen",900532290,"2012-2016","All","Number","Margins of Error",7231
"Goshen",900532290,"2012-2016","All","Number","Median Household Income",95219
"Granby",900332640,"2012-2016","All","Number","Margins of Error",18438
"Granby",900332640,"2012-2016","All","Number","Median Household Income",109901
"Greenwich",900133620,"2012-2016","All","Number","Margins of Error",6934
"Greenwich",900133620,"2012-2016","All","Number","Median Household Income",134223
"Griswold",901133900,"2012-2016","All","Number","Margins of Error",6470
"Griswold",901133900,"2012-2016","All","Number","Median Household Income",57312
"Groton",901134250,"2012-2016","All","Number","Margins of Error",2733
"Groton",901134250,"2012-2016","All","Number","Median Household Income",64074
"Guilford",900934950,"2012-2016","All","Number","Margins of Error",6611
"Guilford",900934950,"2012-2016","All","Number","Median Household Income",102199
"Haddam",900735230,"2012-2016","All","Number","Margins of Error",9408
"Haddam",900735230,"2012-2016","All","Number","Median Household Income",99258
"Hamden",900935650,"2012-2016","All","Number","Margins of Error",2226
"Hamden",900935650,"2012-2016","All","Number","Median Household Income",71665
"Hampton",901536000,"2012-2016","All","Number","Margins of Error",3147
"Hampton",901536000,"2012-2016","All","Number","Median Household Income",73684
"Hartford",900337070,"2012-2016","All","Number","Margins of Error",1096
"Hartford",900337070,"2012-2016","All","Number","Median Household Income",32095
"Hartland",900337140,"2012-2016","All","Number","Margins of Error",4302
"Hartland",900337140,"2012-2016","All","Number","Median Household Income",89438
"Harwinton",900537280,"2012-2016","All","Number","Margins of Error",6696
"Harwinton",900537280,"2012-2016","All","Number","Median Household Income",93770
"Hebron",901337910,"2012-2016","All","Number","Margins of Error",14474
