"Town","FIPS","Year","Measure Type","Variable","Value","Region"
"Andover",901301080,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Andover",901301080,"2006-2010","Crude Rate (per 100,000)","Deaths",6.16,"North Central Region"
"Andover",901301080,"2006-2010","Number","Deaths",1,"North Central Region"
"Andover",901301080,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Andover",901301080,"2007-2011","Crude Rate (per 100,000)","Deaths",19.09,"North Central Region"
"Andover",901301080,"2007-2011","Number","Deaths",3,"North Central Region"
"Andover",901301080,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Andover",901301080,"2008-2012","Crude Rate (per 100,000)","Deaths",24.22,"North Central Region"
"Andover",901301080,"2008-2012","Number","Deaths",4,"North Central Region"
"Andover",901301080,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Andover",901301080,"2010-2014","Crude Rate (per 100,000)","Deaths",30.45,"North Central Region"
"Andover",901301080,"2010-2014","Number","Deaths",5,"North Central Region"
"Ansonia",900901220,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Ansonia",900901220,"2006-2010","Crude Rate (per 100,000)","Deaths",9.39,"South Central Region"
"Ansonia",900901220,"2006-2010","Number","Deaths",9,"South Central Region"
"Ansonia",900901220,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Ansonia",900901220,"2007-2011","Crude Rate (per 100,000)","Deaths",11.46,"South Central Region"
"Ansonia",900901220,"2007-2011","Number","Deaths",11,"South Central Region"
"Ansonia",900901220,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Ansonia",900901220,"2008-2012","Crude Rate (per 100,000)","Deaths",10.39,"South Central Region"
"Ansonia",900901220,"2008-2012","Number","Deaths",10,"South Central Region"
"Ansonia",900901220,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Ansonia",900901220,"2010-2014","Crude Rate (per 100,000)","Deaths",7.32,"South Central Region"
"Ansonia",900901220,"2010-2014","Number","Deaths",7,"South Central Region"
"Ashford",901501430,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Ashford",901501430,"2006-2010","Crude Rate (per 100,000)","Deaths",32.41,"Eastern Region"
"Ashford",901501430,"2006-2010","Number","Deaths",7,"Eastern Region"
"Ashford",901501430,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Ashford",901501430,"2007-2011","Crude Rate (per 100,000)","Deaths",18.57,"Eastern Region"
"Ashford",901501430,"2007-2011","Number","Deaths",4,"Eastern Region"
"Ashford",901501430,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Ashford",901501430,"2008-2012","Crude Rate (per 100,000)","Deaths",18.53,"Eastern Region"
"Ashford",901501430,"2008-2012","Number","Deaths",4,"Eastern Region"
"Ashford",901501430,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Ashford",901501430,"2010-2014","Crude Rate (per 100,000)","Deaths",27.97,"Eastern Region"
"Ashford",901501430,"2010-2014","Number","Deaths",6,"Eastern Region"
"Avon",900302060,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Avon",900302060,"2006-2010","Crude Rate (per 100,000)","Deaths",10.18,"Central Region"
"Avon",900302060,"2006-2010","Number","Deaths",9,"Central Region"
"Avon",900302060,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Avon",900302060,"2007-2011","Crude Rate (per 100,000)","Deaths",7.84,"Central Region"
"Avon",900302060,"2007-2011","Number","Deaths",7,"Central Region"
"Avon",900302060,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Avon",900302060,"2008-2012","Crude Rate (per 100,000)","Deaths",9.94,"Central Region"
"Avon",900302060,"2008-2012","Number","Deaths",9,"Central Region"
"Avon",900302060,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Avon",900302060,"2010-2014","Crude Rate (per 100,000)","Deaths",5.48,"Central Region"
"Avon",900302060,"2010-2014","Number","Deaths",5,"Central Region"
"Barkhamsted",900502760,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Barkhamsted",900502760,"2006-2010","Crude Rate (per 100,000)","Deaths",21.16,"Western Region"
"Barkhamsted",900502760,"2006-2010","Number","Deaths",4,"Western Region"
"Barkhamsted",900502760,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Barkhamsted",900502760,"2007-2011","Crude Rate (per 100,000)","Deaths",10.57,"Western Region"
