"Town","FIPS","Year","Gender","Race/Ethnicity","Age Cohort","Measure Type","Variable","Value","Region"
"Andover",901301080,"2012-2016","Female","All","Total","Number","Population",1676,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","Total","Number","Margins of Error",134,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","0 to 4 years","Number","Population",26,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","0 to 4 years","Number","Margins of Error",22,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","5 to 9 years","Number","Population",99,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","5 to 9 years","Number","Margins of Error",47,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","10 to 14 years","Number","Population",81,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","10 to 14 years","Number","Margins of Error",45,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","15 to 19 years","Number","Population",202,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","15 to 19 years","Number","Margins of Error",102,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","20 to 24 years","Number","Population",85,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","20 to 24 years","Number","Margins of Error",68,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","25 to 29 years","Number","Population",56,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","25 to 29 years","Number","Margins of Error",32,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","30 to 34 years","Number","Population",72,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","30 to 34 years","Number","Margins of Error",37,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","35 to 44 years","Number","Population",164,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","35 to 44 years","Number","Margins of Error",50,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","45 to 54 years","Number","Population",363,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","45 to 54 years","Number","Margins of Error",85,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","55 to 64 years","Number","Population",292,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","55 to 64 years","Number","Margins of Error",83,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","65 to 74 years","Number","Population",99,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","65 to 74 years","Number","Margins of Error",40,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","75 to 84 years","Number","Population",76,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","75 to 84 years","Number","Margins of Error",36,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","85 years and over","Number","Population",61,"North Central Region"
"Andover",901301080,"2012-2016","Female","All","85 years and over","Number","Margins of Error",40,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","Total","Number","Population",1535,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","Total","Number","Margins of Error",127,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","0 to 4 years","Number","Population",92,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","0 to 4 years","Number","Margins of Error",48,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","5 to 9 years","Number","Population",86,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","5 to 9 years","Number","Margins of Error",41,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","10 to 14 years","Number","Population",87,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","10 to 14 years","Number","Margins of Error",38,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","15 to 19 years","Number","Population",109,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","15 to 19 years","Number","Margins of Error",64,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","20 to 24 years","Number","Population",121,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","20 to 24 years","Number","Margins of Error",83,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","25 to 29 years","Number","Population",82,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","25 to 29 years","Number","Margins of Error",56,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","30 to 34 years","Number","Population",50,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","30 to 34 years","Number","Margins of Error",31,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","35 to 44 years","Number","Population",170,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","35 to 44 years","Number","Margins of Error",53,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","45 to 54 years","Number","Population",250,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","45 to 54 years","Number","Margins of Error",68,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","55 to 64 years","Number","Population",328,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","55 to 64 years","Number","Margins of Error",90,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","65 to 74 years","Number","Population",104,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","65 to 74 years","Number","Margins of Error",45,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","75 to 84 years","Number","Population",41,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","75 to 84 years","Number","Margins of Error",23,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","85 years and over","Number","Population",15,"North Central Region"
"Andover",901301080,"2012-2016","Male","All","85 years and over","Number","Margins of Error",16,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","Total","Number","Population",3211,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","Total","Number","Margins of Error",148,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","0 to 4 years","Number","Population",118,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","0 to 4 years","Number","Margins of Error",53,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","5 to 9 years","Number","Population",185,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","5 to 9 years","Number","Margins of Error",62,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","10 to 14 years","Number","Population",168,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","10 to 14 years","Number","Margins of Error",59,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","15 to 19 years","Number","Population",311,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","15 to 19 years","Number","Margins of Error",120,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","20 to 24 years","Number","Population",206,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","20 to 24 years","Number","Margins of Error",107,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","25 to 29 years","Number","Population",138,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","25 to 29 years","Number","Margins of Error",64,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","30 to 34 years","Number","Population",122,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","30 to 34 years","Number","Margins of Error",48,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","35 to 44 years","Number","Population",334,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","35 to 44 years","Number","Margins of Error",73,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","45 to 54 years","Number","Population",613,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","45 to 54 years","Number","Margins of Error",109,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","55 to 64 years","Number","Population",620,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","55 to 64 years","Number","Margins of Error",123,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","65 to 74 years","Number","Population",203,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","65 to 74 years","Number","Margins of Error",61,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","75 to 84 years","Number","Population",117,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","75 to 84 years","Number","Margins of Error",43,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","85 years and over","Number","Population",76,"North Central Region"
"Andover",901301080,"2012-2016","Total","All","85 years and over","Number","Margins of Error",43,"North Central Region"
"Ansonia",900901220,"2012-2016","Female","All","Total","Number","Population",9761,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","Total","Number","Margins of Error",472,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","0 to 4 years","Number","Population",579,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","0 to 4 years","Number","Margins of Error",272,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","5 to 9 years","Number","Population",569,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","5 to 9 years","Number","Margins of Error",180,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","10 to 14 years","Number","Population",691,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","10 to 14 years","Number","Margins of Error",247,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","15 to 19 years","Number","Population",563,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","15 to 19 years","Number","Margins of Error",191,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","20 to 24 years","Number","Population",812,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","20 to 24 years","Number","Margins of Error",245,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","25 to 29 years","Number","Population",357,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","25 to 29 years","Number","Margins of Error",169,"South Central Region"
