"Town","FIPS","Year","Gender","Measure Type","Variable","Value","Region"
"Andover",901301080,"2012-2016","Total","Number","Employed or Enrolled Youth",267,"North Central Region"
"Andover",901301080,"2012-2016","Total","Number","Margins of Error",107,"North Central Region"
"Andover",901301080,"2012-2016","Total","Percent","Employed or Enrolled Youth",95.36,"North Central Region"
"Andover",901301080,"2012-2016","Total","Percent","Margins of Error",49.88,"North Central Region"
"Andover",901301080,"2012-2016","Female","Number","Employed or Enrolled Youth",194,"North Central Region"
"Andover",901301080,"2012-2016","Female","Number","Margins of Error",90,"North Central Region"
"Andover",901301080,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"North Central Region"
"Andover",901301080,"2012-2016","Female","Percent","Margins of Error",64.85,"North Central Region"
"Andover",901301080,"2012-2016","Male","Number","Employed or Enrolled Youth",73,"North Central Region"
"Andover",901301080,"2012-2016","Male","Number","Margins of Error",58,"North Central Region"
"Andover",901301080,"2012-2016","Male","Percent","Employed or Enrolled Youth",84.88,"North Central Region"
"Andover",901301080,"2012-2016","Male","Percent","Margins of Error",95.3,"North Central Region"
"Ansonia",900901220,"2012-2016","Total","Number","Employed or Enrolled Youth",805,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","Number","Margins of Error",236,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","Percent","Employed or Enrolled Youth",86.93,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","Percent","Margins of Error",34.48,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","Number","Employed or Enrolled Youth",307,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","Number","Margins of Error",139,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","Percent","Employed or Enrolled Youth",74.88,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","Percent","Margins of Error",47.18,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","Number","Employed or Enrolled Youth",498,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","Number","Margins of Error",190,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","Percent","Employed or Enrolled Youth",96.51,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","Percent","Margins of Error",50.37,"South Central Region"
"Ashford",901501430,"2012-2016","Total","Number","Employed or Enrolled Youth",147,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","Number","Margins of Error",61,"Eastern Region"
